NOM;DOSAGE1;FORME
ANTISTAPH / PENISTAPH;500;GELULE
TOTAPEN;1;POUDRE POUR SOLUTION INJECTABLE
BRONCOTEC;12;GELULE INHALEE
AMOXIL;500;POUDRE POUR SOLUTION INJECTABLE
CEBESINE;0.4;COLLYRE
CHEMOSET;8;COMPRIME PELLICULE
ZOFRAN;8;SOLUTION INJECTABLE
METROZAL;500;OVULE
TRE-ZEN 20 MG;20;COMPRIME SECABLE
ULTRAVIST;370;SOLUTION INJECTABLE
AMOXIL;500;COMPRIME DISPERSIBLE
OESTRODOSE;0.06;GEL
OESTRODOSE;0.06;GEL
SPIRIVA;18;GELULE INHALEE
SPIRIVA;18;GELULE INHALEE
VITRIMIX KV *;;PREPARATION INJECTABLE POUR PERFUSION
NOCOL;40;COMPRIME PELLICULE
DISPAMOX 250 MG;250;POUDRE POUR SUSPENSION BUVABLE
INTRONA;18;SOLUTION INJECTABLE
AZITHRIX;200;POUDRE POUR SUSPENSION BUVABLE
AZIX;500;COMPRIME PELLICULE
SYNNAX;5;COMPRIME DISPERSIBLE
SYNNAX;5;COMPRIME DISPERSIBLE
NOZINAN;25;COMPRIME PELLICULE SECABLE
STILNOX CR;12.5;COMPRIME PELLICULE SECABLE
STILNOX CR;12.5;COMPRIME PELLICULE SECABLE
RAZON 40 MG;40;COMPRIME ENROBE GASTRO-RESISTANT
ORGALUTRAN;0.25;SOLUTION INJECTABLE
XALATAN;0.005;COLLYRE
CEFTAJECT I.M 500 MG/2ML;500;POUDRE POUR SOLUTION INJECTABLE
CEFTAJECT I.M 500 MG/2ML;500;POUDRE POUR SOLUTION INJECTABLE
GLIDIABET;5;COMPRIME SECABLE
OSCILLOCCINUM;;GLOBULE
THIAZILIX;2.5;COMPRIME PELLICULE
BISPIRAZOLE;1.5 / 250;COMPRIME ENROBE
LACIPIL;2;COMPRIME ENROBE
RETROVIR;50;SOLUTION BUVABLE
OKA-ETOPOSIDE;100;SOLUTION A DILUER POUR PERFUSION
ORADEXON;0.5;COMPRIME SECABLE
NEOFORTAN 40MG;40;COMPRIME EFFERVESCENT
DIALYSE PERITONEALE BIEFFE FORMULE 55;;SOLUTION POUR DIALYSE PERITONEALE
UN-ALFA 1 µG;1;CAPSULE
UN-ALFA 1 µG;1;CAPSULE
PENAMOX;500;POUDRE POUR SOLUTION INJECTABLE
IMIZINE 10%;10;PATE DENTAIRE
