NOM;DOSAGE1;FORME
FLOXAPEN;1;POUDRE POUR USAGE PARENTERAL
AGLIM 2 MG;2;COMPRIME
KETODERM;2;GEL
AXIMYCINE;500;POUDRE POUR SUSPENSION BUVABLE
COLPOTROPHINE;1;CREME VAGINALE
BELMAZOL 20MG;20;GELULE
MIDANIUM;5;SOLUTION INJECTABLE
MIDANIUM;5;SOLUTION INJECTABLE
FOLINATE DE CALCIUM AGUETTANT 100 MG;100;POUDRE POUR SOLUTION INJECTABLE
VASCOR LM;35;COMPRIME ENROBE LM
VASCOR LM;35;COMPRIME ENROBE LM
COTAREG;80 / 12.5;COMPRIME PELLICULE
SINGULAIR;4;COMPRIME A CROQUER
OMEPRAL;20;GELULE
POLYGYNAX;35 000 / 35 000 / 100 000;CAPSULE VAGINALE
POLYGYNAX;35 000 / 35 000 / 100 000;CAPSULE VAGINALE
MAXIMAG;1.5;SOLUTION BUVABLE
XARELTO;10;COMPRIME PELLICULE
XARELTO;10;COMPRIME PELLICULE
BEROCCA ZINC;;COMPRIME EFFERVESCENT
PREZAR;50;COMPRIME PELLICULE SECABLE
AZOPT;10;COLLYRE
ENDOXAN 1 G;1;POUDRE POUR SOLUTION INJECTABLE IV
SENOPHILE;2.5 / 0.5;POMMADE
ARANESP 40 µG;40;SOLUTION INJECTABLE
ARANESP 40 µG;40;SOLUTION INJECTABLE
CIVASTINE;40;COMPRIME ENROBE
ERYFLUID;4;SOLUTION POUR APPLICATION LOCALE
KARDEGIC;160;POUDRE POUR SOLUTION BUVABLE
DILRENE LP;300;GELULE LP
COLCHICINE;1;COMPRIME SECABLE
COLCHICINE;1;COMPRIME SECABLE
DIPREZAR FORT;100 / 25;COMPRIME PELLICULE
DOGMATIL;0.5;SOLUTION BUVABLE
DOGMATIL;0.5;SOLUTION BUVABLE
BIGUAN 850;850;COMPRIME
ISENTRESS;400;COMPRIME PELLICULE
SULFAPRIM;4 / 800;SUSPENSION BUVABLE
KEFLIN;1;POUDRE POUR SOLUTION INJECTABLE
MUCICLAR ADULTE;5;SIROP
LISASPIN;250;POUDRE POUR SOLUTION BUVABLE
DOLIPRANE;1;COMPRIME SECABLE
CARBOPLATINE AGUETTANT 50 MG;50;SOLUTION POUR PERFUSION
STREPTOCID;250;COMPRIME DISPERSIBLE
ALGIPAN BAUME;100 / 100 / 10;CREME
NOVOMIX 30 PENFILL;100;SUSPENSION INJECTABLE INTERMEDIAIRE
EBETAXEL;30;SOLUTION A DILUER POUR PERFUSION
CRIZEPINE;2;SUSPENSION BUVABLE
AMLOR;10;COMPRIME
EFITAC;75;COMPRIME EFFERVESCENT
EFITAC;75;COMPRIME EFFERVESCENT
CEPLATIN;50;SOLUTION POUR PERFUSION
FASIGYNE;500;COMPRIME ENROBE
HERPEVIR;200;COMPRIME
KETODERM;2;CREME
MICROZIDE;80;COMPRIME SECABLE
AGLIM 4 MG;4;COMPRIME
LEDERTREXATE 50 MG;50;SOLUTION INJECTABLE
MIDAZOLAM MYLAN;5;SOLUTION INJECTABLE
SORBALCA;300 / 500;COMPRIME EFFERVESCENT
EFDOL CAFEINE;500 / 50;COMPRIME
OEDES;20;GELULE
PACLITAXEL MYLAN PHARMA 300 MG/50 ML;300;SOLUTION A DILUER POUR PERFUSION
TETRACYCLINE LAPROPHAN;3;POMMADE
INIKAL 5 MG;5;COMPRIME
CYMBALTA;30;GELULE GASTRO-RESISTANTE
CIALIS;10;COMPRIME PELLICULE
CIALIS;10;COMPRIME PELLICULE
CANAFLUCAN;150;GELULE
FLUMAX 2000 UI ANTI-XA/0.2ML;2000;SOLUTION INJECTABLE
RAZON;40;COMPRIME ENROBE GASTRO-RESISTANT
OPTICILLINE;250;POUDRE POUR USAGE PARENTERAL
PYRALVEX;5 / 1;SOLUTION BUCCALE ET GINGIVALE
MEBEVERINE FORTE;135;COMPRIME PELLICULE
TIMABAK;0.25;COLLYRE
GLUCOR;100;COMPRIME SECABLE
TRAMIUM 100 MG;100;GELULE LP
DONTOGYL;0.75 / 125;COMPRIME PELLICULE
MUCILAR ENFANTS ET NOURISSONS;2;SIROP
FRAGMIN;2500;SOLUTION INJECTABLE
NEOMOX;500;GELULE
BICARBONATE EM 39;;SOLUTE CONCENTRE
ZYRTEC;10;SOLUTION POUR GOUTTES BUVABLES
ALLERGINE;10;COMPRIME SECABLE
SOLUPRED;5;COMPRIME EFFERVESCENT
CEFTRIAXONE MYLAN;250;POUDRE POUR SOLUTION INJECTABLE
CACIT;1;COMPRIME EFFERVESCENT
RODAL;1;COMPRIME DISPERSIBLE
INSULINE INSULATARD HM PENFILL;100;SUSPENSION INJECTABLE INTERMEDIAIRE
PRIMALAN;5;COMPRIME SECABLE
PRAVASTATINE GT;20;COMPRIME
MANNITOL 20% LAPROPHAN;20;SOLUTION POUR PERFUSION
EULEXINE;250;COMPRIME
BUPIVACAINE AGUETTANT 5MG/ML;0.5;SOLUTION INJECTABLE
SPASFON;80;COMPRIME ENROBE
SERTRALINE GT 100 MG;100;COMPRIME PELLICULE
SERTRALINE GT 100 MG;100;COMPRIME PELLICULE
EOSINE PHARMA;2;SOLUTION POUR APPLICATION LOCALE
SPECTRUM;200;SOLUTION INJECTABLE
SPECTRUM;200;SOLUTION INJECTABLE
RHUMAGRIP;500 / 30;COMPRIME
STAPHYPEN;500;GELULE
ORACEFAL;500;POUDRE POUR SUSPENSION BUVABLE
APIDRA SOLOSTAR;100;SOLUTION INJECTABLE
APIDRA SOLOSTAR;100;SOLUTION INJECTABLE
MYCODERME 1%;1;CREME
MYDRIATICUM;0.5;COLLYRE
MOBIC;15;COMPRIME SECABLE
ALFAMOX;500;GELULE
GENTAMEN 160;160;SOLUTION INJECTABLE
RINOCLENIL 50 MCG;50;SUSPENSION NASALE
RINOCLENIL 50 MCG;50;SUSPENSION NASALE
GLYCEMAT;80;COMPRIME SECABLE
BUPIVACAINE MYLAN 20 MG/4 ML;0.5;SOLUTION INJECTABLE
FRAXIPARINE;7600;SOLUTION INJECTABLE
ASPEGIC;500;POUDRE POUR SOLUTION BUVABLE
ASPEGIC;500;POUDRE POUR SOLUTION BUVABLE
ALFACEFAL 250 MG/5 ML;3;POUDRE POUR SUSPENSION BUVABLE
ACIDAC;150;COMPRIME ENROBE
TOTAPEN;1;POUDRE POUR SOLUTION INJECTABLE
BICARBONATE EM 59;;SOLUTE CONCENTRE
THEOPHYLLINE BRUNEAU ENFANT;100;SUPPOSITOIRE
IRINOTECAN COOPER;40;SOLUTION A DILUER POUR PERFUSION
IRINOTECAN COOPER;40;SOLUTION A DILUER POUR PERFUSION
RIBOMICIN;0.3;COLLYRE
GLIVEC;100;GELULE
NEO-CODION NOURRISSONS;1.482 / 0.6175;SIROP
OLIPLAT;50;POUDRE POUR PERFUSION
CLAMOXYL;500;POUDRE POUR SUSPENSION BUVABLE
STARMOX;500;POUDRE POUR SUSPENSION BUVABLE
INSULINE ACTRAPID HM PENFILL;100;SOLUTION INJECTABLE
MEZOR 40 MG;40;GELULE GASTRO-RESISTANTE
DIGOXINE NATIVELLE;5;SOLUTION BUVABLE
ACIDE SLF241;;SOLUTE CONCENTRE
COAPROVEL;150 / 12.5;COMPRIME ENROBE GASTRO-RESISTANT
EXOSEPTOPLIX;125;SOLUTION POUR APPLICATION LOCALE
FUCIDINE;2;CREME
AMLODIPINE GT;10;COMPRIME SECABLE
AMLODIPINE GT;10;COMPRIME SECABLE
VIRAFERON PEG;150;POUDRE POUR SOLUTION INJECTABLE
FONGICAN;150;GELULE
BRONCHOKOD SANS SUCRE;5;SIROP
RETIMAX;400;COMPRIME
MITOXANTRONE EBEWE;10;SOLUTION A DILUER POUR PERFUSION
VASTAREL;20;COMPRIME PELLICULE
BUPIVACAINE MYLAN RACHIANESTHESIE 20 MG/4 ML;0.5;SOLUTION INJECTABLE
MOLGAM 100 MG;100;COMPRIME
EFFERALGAN;3;SOLUTION BUVABLE
ALKERAN;2;COMPRIME
NO-SPA;80;COMPRIME
NO-SPA;80;COMPRIME
BIOSULIN N;100;SUSPENSION INJECTABLE INTERMEDIAIRE
TICLID;250;COMPRIME PELLICULE
LIFONGID;1;CREME
LIFONGID;1;CREME
SOMATULINE LP 60MG;60;SOLUTION INJECTABLE LP
SOMATULINE LP 60MG;60;SOLUTION INJECTABLE LP
EPREX 10000 UI/ML;4000;SOLUTION INJECTABLE
SEPTIVON;0.5;SOLUTION MOUSSANTE POUR APPLICATION LOCALE
STATOR 40 MG;40;COMPRIME ENROBE
TENORDATE;20 / 50;GELULE
INEGY 10MG/10MG;10 / 10;COMPRIME
LOMET;15;GELULE
LISASPIN;500;POUDRE POUR SOLUTION BUVABLE
BIODROXIL;1;COMPRIME ENROBE
BRONCHOFLUIDE SANS SUCRE;5;SOLUTION BUVABLE
XYTENOL;100;COMPRIME SECABLE
ORACEFAL;125;POUDRE POUR SUSPENSION BUVABLE
FACTEUR IX DE COAGULATION HUMAIN-CNTS 50 UI/ML;500;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
GRISEO;5;POMMADE
ALFAMOX;250;POUDRE POUR SUSPENSION BUVABLE
VEPESIDE;100;SOLUTION POUR PERFUSION
AFINITOR 5 MG;5;COMPRIME
VOGASET;4;SOLUTION A DILUER POUR PERFUSION
AGIDERM;2;CREME
KARDEGIC 75MG;75;POUDRE POUR SOLUTION BUVABLE
KARDEGIC 75MG;75;POUDRE POUR SOLUTION BUVABLE
RAMIPRIL WIN;5;COMPRIME
RAMIPRIL WIN;5;COMPRIME
ULTRA-LEVURE;250;POUDRE POUR SUSPENSION BUVABLE
PROFLOX;500;COMPRIME ENROBE
PROFLOX;500;COMPRIME ENROBE
BETADINE;10;GEL
MYNAZOL;150;GELULE
MYNAZOL;150;GELULE
TECPRIL;2.5;GELULE
CHRONADALATE L.P;20;COMPRIME OSMOTIQUE LP
DILATOR ECOSPRAY;100;SUSPENSION POUR INHALATION
DILATOR ECOSPRAY;100;SUSPENSION POUR INHALATION
INTETRIX;50 / 200;GELULE
COAPROVEL;150 / 12.5;COMPRIME ENROBE
ACIDE DEXTROSE EM 80 D2;;SOLUTE CONCENTRE
ONGECIN;1;POUDRE POUR SOLUTION POUR PERFUSION
EXELON PATCH 10;18;DISPOSITIF TRANSDERMIQUE
VIRAFERONPEG 80 µG;80;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
ARIXTRA 2.5 MG/0.5 ML;2.5;SOLUTION INJECTABLE
OROTREX;10;CAPSULE MOLLE
GRISEOPHARM;250;COMPRIME
PROCTOLOG;0.12 / 0.01;SUPPOSITOIRE
VELAXOR LP;37.5;GELULE LP
ARTHRODONT 1 %;1;PATE DENTAIRE
DILATREND;6.25;COMPRIME
GLUCOR;50;COMPRIME
ULTIVA 1 MG;1;POUDRE POUR PREPARATION INJECTABLE
ULTIVA 1 MG;1;POUDRE POUR PREPARATION INJECTABLE
PULPERYL;4.1;SOLUTION POUR APPLICATION LOCALE
BIOTIC PLUS;1 / 125;POUDRE POUR SUSPENSION BUVABLE
BONDRONAT;50;COMPRIME ENROBE
AVENOC;;SUPPOSITOIRE
DANTRON;4;SOLUTION INJECTABLE
PRILVAS;5;COMPRIME SECABLE
SYNNAX;50;COMPRIME
SYNNAX;50;COMPRIME
RETISOL-A;0.05;CREME
AERRANE;100;SOLUTION POUR INHALATION
AERRANE;100;SOLUTION POUR INHALATION
OKA-DOCETAXEL;80;SOLUTION A DILUER POUR PERFUSION
MAXILASE;3000;COMPRIME ENROBE
PROSTIGMINE;0.5;SOLUTION INJECTABLE
BIOSULIN 30/70 MIXTE;100;SUSPENSION INJECTABLE INTERMEDIAIRE
BACTOX;500;POUDRE POUR SUSPENSION BUVABLE
STEROGYL GOUTTES;2;SOLUTION POUR GOUTTES BUVABLES
OPTICILLINE;500;GELULE
MELOXICAM GT;7.5;COMPRIME
MELOXICAM GT;7.5;COMPRIME
MEGASFON;80 / 80;COMPRIME PELLICULE
MEGASFON;80 / 80;COMPRIME PELLICULE
BEROCCA ZINC;;COMPRIME EFFERVESCENT
MYK;1;CREME
INSULINE INSULATARD HM PENFILL;100;SUSPENSION INJECTABLE INTERMEDIAIRE
TAVANIC;500;COMPRIME PELLICULE SECABLE
PHENOCILLINE;1;COMPRIME SECABLE
PNEUMOCCID;250;COMPRIME DISPERSIBLE
LEVITRA;10;COMPRIME PELLICULE
RISPERDAL ORO 3MG;3;COMPRIME ORODISPERSIBLE
POLYTAR LIQUIDE;1;SHAMPOOING
CHONDROSULF 400 MG;400;GELULE
BEMAG;0.5 / 0.125;SOLUTION BUVABLE
ADRONAT 70 MG;70;COMPRIME
TAXOL;30;SOLUTION A DILUER POUR PERFUSION
BIOMOX;1;COMPRIME DISPERSIBLE
STATOR 40 MG;40;COMPRIME ENROBE
ACIDE ALENDRONIQUE GT;70;COMPRIME PELLICULE
PROGRAF;1;GELULE
PROGRAF;1;GELULE
TELEBRIX 30 MEGLUMINE;19.81;SOLUTION INJECTABLE
DICLO PHARMA 5;50;COMPRIME GASTRO-RESISTANT
TOTIFEN;1;GELULE
MOLGAM 200 MG;200;COMPRIME
NAUSELIUM 10 MG;10;COMPRIME PELLICULE
UMAX 400 µG LP;0.4;GELULE LP
LANTUS;100;SOLUTION INJECTABLE LP
TIMOPTOL;0.5;COLLYRE
BRONCHOFLUIDE;5;SOLUTION BUVABLE
AMAREL;4;COMPRIME
AMAREL;4;COMPRIME
ALTEC;2.5;GELULE
HEXABRIX;320;SOLUTION INJECTABLE
ZITHROMAX;100;POUDRE POUR SUSPENSION BUVABLE
FONGICAN 50 MG;50;GELULE
DAILY GÉ;0.05 / 0.03;COMPRIME ENROBE
ZYRDOL-GYN;500;OVULE
BULMOL;8;GELULE
GLUCOPHAGE 850;850;COMPRIME PELLICULE
IMUSPORIN;25;CAPSULE MOLLE
ATROPINE PROMOPHARM 1 MG;1;SOLUTION INJECTABLE
FLUOCARIL BF 250;0.25;PATE DENTIFRICE
TRIAXON;250;POUDRE POUR SOLUTION INJECTABLE
ROFERON-A;4.5;PREPARATION INJECTABLE
TRIMOX;400 / 80;COMPRIME
CLADIA;500;COMPRIME ENROBE
DURESAN;40;COMPRIME
LAMICTAL;25;COMPRIME DISPERSIBLE
DIFLUCAN;150;GELULE
NEOMOX;1;COMPRIME DISPERSIBLE
ALGANTIL;5;GEL
RINGER LACTATE SOTHEMA;0.6 / 0.04;SOLUTION POUR PERFUSION
HAEMACCEL;;SOLUTION POUR PERFUSION
NOVOFEM;1 / 1;COMPRIME PELLICULE
DIALENS;5 / 5;COLLYRE
GLUCOSE 5% SOTHEMA;5;SOLUTION POUR PERFUSION
OEDES 20 MG;20;GELULE
CARDIJECT;250;POUDRE POUR USAGE PARENTERAL
ERYTHROCINE;1;GRANULE POUR SOLUTION BUVABLE
CALCINIB;5;COMPRIME
LUDIOMIL;75;COMPRIME PELLICULE
TRIMOX FORT;800 / 160;COMPRIME
ALZOLE 20 MG;20;GELULE
ALZOLE 20 MG;20;GELULE
BUSCOPAN;10;SUPPOSITOIRE
AMOVAS;5;COMPRIME
FLUSTAPH;250;POUDRE POUR SUSPENSION BUVABLE
TROPHIRES ADULTES;110 / 285;SUPPOSITOIRE
HIPOTENSIL;50;COMPRIME
VIRLIX;10;COMPRIME PELLICULE SECABLE
PNEUMOCCID;500;GELULE
MYCOFLU 150 MG;150;GELULE
SPASFON 40 MG;40 / 0.04;SOLUTION INJECTABLE
SPASFON 40 MG;40 / 0.04;SOLUTION INJECTABLE
MIGRALGINE;400 / 62.5;GELULE
XERIUM 20 MG;20;COMPRIME SECABLE
SYMBICORT TURBUHALER;100 / 6;POUDRE POUR INHALATION
DOLIPRANE;200;SUPPOSITOIRE
TEMODAL;5;GELULE
TEMODAL;20;GELULE
LINCOCINE;250;SIROP
RECORMON;500;SOLUTION INJECTABLE
FRAXIPARINE;3800;SOLUTION INJECTABLE
PHARMAFLAM RETARD;100;COMPRIME LP
CORRECTOL;0.1;COLLYRE
VELAXOR LP;75;GELULE LP
NORMET;100;COMPRIME SECABLE
VERASKIN;4;GEL
ASTAPH;500;POUDRE POUR SUSPENSION BUVABLE
GENTAMICINE LLORENTE;160;SOLUTION INJECTABLE
INSPRA 50 MG;50;COMPRIME PELLICULE
BRONCHOFLUIDE;5;SOLUTION BUVABLE
MINIDIAB;5;COMPRIME SECABLE
EZETROL;10;COMPRIME
NOVOCLIN;500 / 125;COMPRIME ENROBE
C-BAC 500 MG;500;COMPRIME ENROBE
TERFINE 250 MG PROMOPHARM;250;COMPRIME
TRITAZIDE 10MG / 25MG;10 / 25;COMPRIME SECABLE
INDOLAN;50;SUPPOSITOIRE
PRIMALAN;10;COMPRIME SECABLE
NEOCLAV 100MG/12.5MG/ML NOURRISSON;100 / 12.5;POUDRE POUR SUSPENSION BUVABLE
SUPANGINE;125 / 40;SUPPOSITOIRE
DOXYMYCINE;200;COMPRIME DISPERSIBLE
PRISDAL;4;COMPRIME PELLICULE
BIOTIC PLUS;1 / 125;POUDRE POUR SUSPENSION BUVABLE
OMEGEN;10;GELULE GASTRO-RESISTANTE
ALFAMOX;1;POUDRE POUR SUSPENSION BUVABLE
ALFAMOX;1;POUDRE POUR SUSPENSION BUVABLE
FLAGYL;500;OVULE
EUSAPRIM FORT;800 / 160;COMPRIME SECABLE
ZOPIDOX;10;COMPRIME PELLICULE
CHLORTETRACYCLINE LAPROPHAN;1;POMMADE OPHTALMIQUE
TECPRIL;1.25;GELULE
ALODONT;5 / 50;SOLUTION POUR BAIN DE BOUCHE
VISUDYNE;15;POUDRE POUR SOLUTION POUR PERFUSION
UMILINE NPH PEN;100;SUSPENSION INJECTABLE INTERMEDIAIRE
GRISEOPHARM;125;COMPRIME
ZOCOR;40;COMPRIME ENROBE GASTRO-RESISTANT
PROFLOX;500;COMPRIME ENROBE
LASILIX SPECIAL;250;SOLUTION INJECTABLE
CELLCEPT;500;COMPRIME PELLICULE
VIBRAMYCINE;100;COMPRIME
MODITEN;25;COMPRIME ENROBE
SUPPOSEDAL ADULTE;40/40/20;SUPPOSITOIRE
CHLORURE DE SODIUM LAPROPHAN;0.9;SOLUTION POUR PERFUSION
HIBOR 2500 UI ANTI XA;2500;SOLUTION INJECTABLE
AERIUS;0.5;SIROP
INNOHEP 18 000 UI ANTI-XA/0,9 ML;18000;SOLUTION INJECTABLE
CIBACALCINE;0.5;POUDRE POUR SOLUTION INJECTABLE
CHLORTETRACYCLINE LAPROPHAN;3;POMMADE
AVONEX 30µG/0.5ML;30;SOLUTION INJECTABLE
SULPIDAL;50;GELULE
OXAPLATINE MYLAN 5 MG/ML;50;POUDRE POUR PERFUSION
DUOTRAV;40 / 5;COLLYRE
DUOTRAV;40 / 5;COLLYRE
TOPICORTE 0,25%;0.25;CREME
PRISDAL;4;COMPRIME PELLICULE
OXIDEN;20;SUPPOSITOIRE
PACLITAXEL PHARMACHEMIE 6MG/ML;100;CONCENTRE POUR SOLUTION POUR PERFUSION
HEXABRIX;320;SOLUTION INJECTABLE
GAVISCON;500 / 267;SUSPENSION BUVABLE
PAROXETINE WIN;20;COMPRIME PELLICULE SECABLE
LIBRAX;2.5 / 5;COMPRIME ENROBE
DONZEP 10 MG;10;COMPRIME PELLICULE
TILCOTIL;20;LYOPHILISAT POUR SOLUTION INJECTABLE
TEMGESIC;0.3;SOLUTION INJECTABLE
LOSARTAN GT;50;COMPRIME PELLICULE SECABLE
POLYTAR AF;1 / 1;SHAMPOOING
VIRECTIL 100 MG;100;COMPRIME PELLICULE
PROCTO GLYVENOL;50 / 20;CREME RECTALE
HUMEX COLLUTOIRE;0.3 / 0.03;COLLUTOIRE
DESOMEDINE;0.1;COLLYRE
PARAGRIPPE;;GLOBULE DOSE
WELLBUTRIN XR 150 MG;150;COMPRIME PELLICULE LM
TAMOXIFENE MYLAN;20;COMPRIME
MARCAINE RACHIANESTHESIE;0.5;SOLUTION INJECTABLE
ALTEC;10;GELULE
SEDATIF PC;;COMPRIME
ZOLOFT;50;GELULE
ALDACTONE;75;COMPRIME PELLICULE SECABLE
BRONCOLIBER ADULTE;30;SIROP
FLAGENTYL;500;COMPRIME PELLICULE SECABLE
FLAGENTYL;500;COMPRIME PELLICULE SECABLE
PRESTOLE;50 / 25;GELULE
FLUIBRON;30;POUDRE POUR SUSPENSION BUVABLE
HUMEX RHUME;1 / 60;COMPRIME ET GELULE
POSTE PENGHA;15.8;PATE DENTAIRE
VOLTARENE EMULGEL;1;GEL
ALMIDE;0.1;COLLYRE
EXACYL;250;COMPRIME PELLICULE
PAXELADINE;0.2;SIROP
TEGUMA;1;CREME
TEGUMA;1;CREME
MAGISTRAL;100;SUSPENSION POUR INHALATION BUCCALE
MAGISTRAL;100;SUSPENSION POUR INHALATION BUCCALE
CETIRAL;10;COMPRIME PELLICULE
MAXIDROL;0.1 / 350000;POMMADE OPHTALMIQUE
TONICALCIUM ENFANTS;250 / 250;SOLUTION BUVABLE
ISKEDYL;0.3125 / 6.25;SOLUTION INJECTABLE
OVESTIN;0.5;OVULE
DOMPELIUM 1 MG / ML;1;SUSPENSION BUVABLE
DUROGESIC;50;DISPOSITIF TRANSDERMIQUE
CAPEN;50;COMPRIME
CINABAC;500;COMPRIME PELLICULE
LIVIAL;2.5;COMPRIME
VIAGRA;50;COMPRIME ENROBE
PRILVAS;20;COMPRIME SECABLE
EPOTIN;2000;SOLUTION INJECTABLE
CISPLATINE COOPER;50;SOLUTION POUR PERFUSION
CYMBALTA;60;GELULE GASTRO-RESISTANTE
COAPROVEL;300 / 12.5;COMPRIME ENROBE
UROCTAL;400;COMPRIME
ESTRAPATCH 60 µG/24 HEURES;1.90;DISPOSITIF TRANSDERMIQUE
HEXABRIX;200;SOLUTION INJECTABLE
NEOMOX;500;COMPRIME DISPERSIBLE
ASKARDIL 160MG;160;COMPRIME DISPERSIBLE
ULCESTOP;400;COMPRIME
LORCARD;5;COMPRIME
ADALATE RETARD;20;COMPRIME LP
XEDILOL;25;COMPRIME SECABLE
FLAGENTYL;500;COMPRIME PELLICULE SECABLE
FLAGYL;250;COMPRIME PELLICULE
GENTAMICINE LLORENTE;120;SOLUTION INJECTABLE
MYCOSPOR ONYCHOSET;0.1 / 4;POMMADE
NUPENTIN;400;GELULE
MEDIZAPIN 7.5 MG;7.5;COMPRIME PELLICULE
MACROMAX;500;COMPRIME
MACROMAX;500;COMPRIME
BRUFEN;400;COMPRIME ENROBE
CO-VALSARTAN WIN 160MG/25MG;160 / 25;COMPRIME PELLICULE
SULFAM;80;COMPRIME SECABLE
ADIZEM;240;GELULE LP
EUPHON;15 / 45;SIROP
JANUMET;50 / 1000;COMPRIME PELLICULE
NOVOSEVEN 120 KUI *;2.4;POUDRE POUR SOLUTION INJECTABLE
ACIDE EM;;SOLUTE CONCENTRE
WARTEC;0.15;CREME
MUXOL;15;SOLUTION BUVABLE
MICROPAQUE COLON;369.52;POUDRE RECTALE
DIGERVIN 40 MG;40;COMPRIME
CIPROFLOXACINE MYLAN 400 MG/200 ML;400;SOLUTION POUR PERFUSION
ERYTHROCINE;500;GRANULE POUR SOLUTION BUVABLE
ELISOR;20;COMPRIME SECABLE
FLUIMUCIL;200;GRANULE POUR SOLUTION BUVABLE
OMEPRAL;20;GELULE
GENTAL;0.3;COLLYRE
ALFAPROXINE;250;COMPRIME PELLICULE
ALFAPROXINE;250;COMPRIME PELLICULE
MEGAMAG;400;GELULE
STREPTASE 750 000 UI;750000;POUDRE POUR USAGE PARENTERAL
LOCATOP;0.1;CREME
SERETIDE;50 / 25;SUSPENSION POUR INHALATION
NAPROSYNE;500;SUPPOSITOIRE
NAPROSYNE;500;SUPPOSITOIRE
LISASPIN;100;POUDRE POUR SOLUTION BUVABLE
DUROGESIC;100;DISPOSITIF TRANSDERMIQUE
SERETIDE;100 / 50;POUDRE POUR INHALATION
ALFATIL;250;POUDRE POUR SUSPENSION BUVABLE
ALFATIL;250;POUDRE POUR SUSPENSION BUVABLE
ANTARENE 20MG/ML;2;SUSPENSION BUVABLE
ANTARENE 20MG/ML;2;SUSPENSION BUVABLE
FENTANYL MYLAN;100;SOLUTION INJECTABLE
REVOLADE 25MG;25;COMPRIME PELLICULE
REVOLADE 25MG;25;COMPRIME PELLICULE
MICRODIOL;0.15 / 0.03;COMPRIME
NOVEX;4000;SOLUTION INJECTABLE
FERO-GRAD VIT C 500;105 / 500;COMPRIME ENROBE
CEPHYL;;COMPRIME
ROCEPHIN IM;250;POUDRE POUR SOLUTION INJECTABLE
FONGICAN;150;GELULE
CAUSTINERF SANS ARSENIC;37;PATE DENTAIRE
TRONID;500;COMPRIME
NEULEPTIL;4;SOLUTION POUR GOUTTES BUVABLES
NEULEPTIL;4;SOLUTION POUR GOUTTES BUVABLES
AZIMAX;200;POUDRE POUR SUSPENSION BUVABLE
ERY 250 MG;250;GRANULE POUR SUSPENSION BUVABLE
FLUARIX;;SUSPENSION INJECTABLE
FLOXAM;250;POUDRE POUR SUSPENSION BUVABLE
GENTAL;0.3;COLLYRE
PULVO 47 NEO;800000 / 60;POUDRE POUR APPLICATION LOCALE
BUCOCINE;20 / 10;COMPRIME SUBLINGUAL
DICLOPHARM;25;COMPRIME ENROBE
CLOPIDOGREL GT 75 MG;75;COMPRIME PELLICULE
ZINOXIME 750 MG IM/IV;750;POUDRE POUR SOLUTION INJECTABLE
ZINOXIME 750 MG IM/IV;750;POUDRE POUR SOLUTION INJECTABLE
DOPAMINE PIERRE FABRE;200;SOLUTION A DILUER POUR PERFUSION
ZOVIRAX;250;POUDRE POUR PERFUSION
EXJADE;125;COMPRIME DISPERSIBLE
EXJADE;125;COMPRIME DISPERSIBLE
PNEUMO 23;;SOLUTION INJECTABLE
PARANTAL;500;COMPRIME EFFERVESCENT
NEURLEP 50 MG;50;GELULE
NEURLEP 50 MG;50;GELULE
CEFAPEROS;125;POUDRE POUR SUSPENSION BUVABLE
FONGICAN;150;GELULE
TAHOR;10;COMPRIME PELLICULE
INHIBACE;2.5;COMPRIME PELLICULE
CYTEAL;0.5 / 0.1 / 0.3;SOLUTION MOUSSANTE POUR APPLICATION LOCALE
NAZAIR;50;SUSPENSION NASALE
METHOTREXATE MYLAN;5;SOLUTION INJECTABLE
FERO-GRAD VIT C 500;105 / 500;COMPRIME ENROBE
ZELITREX 500 MG;500;COMPRIME ENROBE GASTRO-RESISTANT
ACCUPRIL;5;COMPRIME ENROBE SECABLE
MADECASSOL;2;POUDRE POUR APPLICATION LOCALE
MADECASSOL;2;POUDRE POUR APPLICATION LOCALE
MILIPREL;4;COMPRIME
ONDANSETRON GT 8 MG/4ML;8;SOLUTION INJECTABLE
ANDRIOL PM;40;CAPSULE
COVERSYL;8;COMPRIME SECABLE
LAMICTAL;50;COMPRIME
NEOCORT;0.35 / 1;POMMADE OPHTALMIQUE
LILLYPEN PROFIL 30;100;SUSPENSION INJECTABLE INTERMEDIAIRE
LOFAT;200;GELULE
AXIMYCINE;500;POUDRE POUR SOLUTION INJECTABLE
RANITIL;300;COMPRIME PELLICULE
DIPROSONE NEO;50 / 350;POMMADE
NORLEVO;1.5;COMPRIME
PANADOL;250;SUPPOSITOIRE
KEPPRA 250 MG;250;COMPRIME PELLICULE
MEZOR 20 MG;20;GELULE GASTRO-RESISTANTE
ALGANTIL;250;SUPPOSITOIRE
BAITANET D;10;SOLUTION POUR APPLICATION LOCALE
CETAMYL;500;COMPRIME EFFERVESCENT
GYNO-PEVARYL LP;150;OVULE LP
BROCLAR;15;SIROP
BROCLAR;15;SIROP
BRONCHATHIOL ENFANT/NOURRISSON;2;SOLUTION BUVABLE
BCG CULTURE SSI;;POUDRE ET SOLVANT POUR SUSPENSION INJECTABLE
FLUOSEPT;0.5829 / 1.97;SOLUTION POUR BAIN DE BOUCHE
